pair,dealer,ev
"A,A",A,-0.505322
"A,A",2,+0.621751
"A,A",3,+0.669993
"A,A",4,+0.722587
"A,A",5,+0.780576
"A,A",6,+0.816853
"A,A",7,+0.628725
"A,A",8,+0.495113
"A,A",9,+0.362669
"A,A",T,+0.142515
"2,2",A,-1.032169
"2,2",2,-0.064572
"2,2",3,+0.003742
"2,2",4,+0.078760
"2,2",5,+0.197537
"2,2",6,+0.259518
"2,2",7,+0.011753
"2,2",8,-0.176828
"2,2",9,-0.378079
"2,2",T,-0.626353
"3,3",A,-1.060570
"3,3",2,-0.120900
"3,3",3,-0.040589
"3,3",4,+0.080638
"3,3",5,+0.182164
"3,3",6,+0.244245
"3,3",7,-0.047444
"3,3",8,-0.227062
"3,3",9,-0.419894
"3,3",T,-0.667421
"4,4",A,-1.110653
"4,4",2,-0.171545
"4,4",3,-0.063235
"4,4",4,+0.041644
"4,4",5,+0.144474
"4,4",6,+0.200126
"4,4",7,-0.173561
"4,4",8,-0.324502
"4,4",9,-0.501538
"4,4",T,-0.737954
"5,5",A,-1.199136
"5,5",2,-0.245452
"5,5",3,-0.158925
"5,5",4,-0.058226
"5,5",5,+0.044892
"5,5",6,+0.090288
"5,5",7,-0.303916
"5,5",8,-0.468512
"5,5",9,-0.645095
"5,5",T,-0.849543
"6,6",A,-1.167510
"6,6",2,-0.156682
"6,6",3,-0.064153
"6,6",4,+0.034572
"6,6",5,+0.133016
"6,6",6,+0.151690
"6,6",7,-0.228821
"6,6",8,-0.397580
"6,6",9,-0.583510
"6,6",T,-0.813990
"7,7",A,-1.165128
"7,7",2,-0.096614
"7,7",3,-0.011851
"7,7",4,+0.085133
"7,7",5,+0.145469
"7,7",6,+0.199318
"7,7",7,-0.047648
"7,7",8,-0.387460
"7,7",9,-0.563739
"7,7",T,-0.769665
"8,8",A,-1.017158
"8,8",2,+0.091513
"8,8",3,+0.167472
"8,8",4,+0.221446
"8,8",5,+0.312109
"8,8",6,+0.361712
"8,8",7,+0.312620
"8,8",8,-0.042253
"8,8",9,-0.395003
"8,8",T,-0.606123
"9,9",A,-0.826321
"9,9",2,+0.199727
"9,9",3,+0.236256
"9,9",4,+0.312788
"9,9",5,+0.396709
"9,9",6,+0.434888
"9,9",7,+0.361880
"9,9",8,+0.220309
"9,9",9,-0.088704
"9,9",T,-0.447607
"T,T",A,-1.077986
"T,T",2,+0.135006
"T,T",3,+0.213358
"T,T",4,+0.301073
"T,T",5,+0.395943
"T,T",6,+0.450778
"T,T",7,+0.335501
"T,T",8,+0.110220
"T,T",9,-0.152629
"T,T",T,-0.478925
