pair,dealer,ev
"A,A",A,+0.229684
"A,A",2,+0.608342
"A,A",3,+0.656812
"A,A",4,+0.707437
"A,A",5,+0.760327
"A,A",6,+0.806619
"A,A",7,+0.626811
"A,A",8,+0.498481
"A,A",9,+0.361839
"A,A",T,+0.297189
"2,2",A,-0.521236
"2,2",2,-0.078296
"2,2",3,-0.011870
"2,2",4,+0.061835
"2,2",5,+0.157779
"2,2",6,+0.237608
"2,2",7,+0.008521
"2,2",8,-0.176655
"2,2",9,-0.384056
"2,2",T,-0.500697
"3,3",A,-0.565547
"3,3",2,-0.129424
"3,3",3,-0.050744
"3,3",4,+0.043370
"3,3",5,+0.134122
"3,3",6,+0.214647
"3,3",7,-0.051156
"3,3",8,-0.230520
"3,3",9,-0.431396
"3,3",T,-0.546163
"4,4",A,-0.635310
"4,4",2,-0.181248
"4,4",3,-0.093082
"4,4",4,-0.002149
"4,4",5,+0.089972
"4,4",6,+0.169944
"4,4",7,-0.168322
"4,4",8,-0.325429
"4,4",9,-0.508045
"4,4",T,-0.618853
"5,5",A,-0.750250
"5,5",2,-0.270666
"5,5",3,-0.190994
"5,5",4,-0.103032
"5,5",5,-0.011972
"5,5",6,+0.063207
"5,5",7,-0.296577
"5,5",8,-0.458318
"5,5",9,-0.637367
"5,5",T,-0.728780
"6,6",A,-0.724862
"6,6",2,-0.189993
"6,6",3,-0.103418
"6,6",4,-0.012903
"6,6",5,+0.078705
"6,6",6,+0.146806
"6,6",7,-0.252799
"6,6",8,-0.416174
"6,6",9,-0.601644
"6,6",T,-0.707472
"7,7",A,-0.727565
"7,7",2,-0.121562
"7,7",3,-0.041142
"7,7",4,+0.046885
"7,7",5,+0.124290
"7,7",6,+0.202761
"7,7",7,-0.049003
"7,7",8,-0.390981
"7,7",9,-0.573365
"7,7",T,-0.651975
"8,8",A,-0.514322
"8,8",2,+0.074281
"8,8",3,+0.147909
"8,8",4,+0.217429
"8,8",5,+0.300560
"8,8",6,+0.371145
"8,8",7,+0.317636
"8,8",8,-0.029931
"8,8",9,-0.390279
"8,8",T,-0.475705
"9,9",A,-0.241740
"9,9",2,+0.195041
"9,9",3,+0.249480
"9,9",4,+0.318576
"9,9",5,+0.392743
"9,9",6,+0.452524
"9,9",7,+0.364198
"9,9",8,+0.229626
"9,9",9,-0.081770
"9,9",T,-0.310189
"T,T",A,-0.327381
"T,T",2,+0.174984
"T,T",3,+0.252971
"T,T",4,+0.334469
"T,T",5,+0.423596
"T,T",6,+0.500585
"T,T",7,+0.357292
"T,T",8,+0.134408
"T,T",9,-0.129690
"T,T",T,-0.293164
