pair,dealer,ev
"A,A",A,-0.510628
"A,A",2,+0.608342
"A,A",3,+0.656812
"A,A",4,+0.707437
"A,A",5,+0.760327
"A,A",6,+0.806619
"A,A",7,+0.626811
"A,A",8,+0.498481
"A,A",9,+0.361839
"A,A",T,+0.123486
"2,2",A,-1.032454
"2,2",2,-0.153828
"2,2",3,-0.096935
"2,2",4,-0.032251
"2,2",5,+0.053366
"2,2",6,+0.124816
"2,2",7,-0.048608
"2,2",8,-0.214977
"2,2",9,-0.403330
"2,2",T,-0.639292
"3,3",A,-1.063448
"3,3",2,-0.205661
"3,3",3,-0.136105
"3,3",4,-0.052353
"3,3",5,+0.028857
"3,3",6,+0.100982
"3,3",7,-0.108467
"3,3",8,-0.269452
"3,3",9,-0.450162
"3,3",T,-0.681603
"4,4",A,-1.112033
"4,4",2,-0.257822
"4,4",3,-0.179987
"4,4",4,-0.098489
"4,4",5,-0.016770
"4,4",6,+0.057370
"4,4",7,-0.226758
"4,4",8,-0.364949
"4,4",9,-0.527300
"4,4",T,-0.748901
"5,5",A,-1.191389
"5,5",2,-0.315811
"5,5",3,-0.241134
"5,5",4,-0.158188
"5,5",5,-0.071674
"5,5",6,+0.001732
"5,5",7,-0.330100
"5,5",8,-0.481862
"5,5",9,-0.651304
"5,5",T,-0.850273
"6,6",A,-1.173941
"6,6",2,-0.267382
"6,6",3,-0.190856
"6,6",4,-0.108734
"6,6",5,-0.026874
"6,6",6,+0.033655
"6,6",7,-0.311506
"6,6",8,-0.455904
"6,6",9,-0.621056
"6,6",T,-0.830476
"7,7",A,-1.175495
"7,7",2,-0.198202
"7,7",3,-0.126426
"7,7",4,-0.047898
"7,7",5,+0.019709
"7,7",6,+0.090052
"7,7",7,-0.105234
"7,7",8,-0.429257
"7,7",9,-0.591294
"7,7",T,-0.779610
"8,8",A,-1.027362
"8,8",2,-0.000531
"8,8",3,+0.063805
"8,8",4,+0.124008
"8,8",5,+0.197232
"8,8",6,+0.259608
"8,8",7,+0.263000
"8,8",8,-0.065810
"8,8",9,-0.409053
"8,8",T,-0.616464
"9,9",A,-0.838117
"9,9",2,+0.154068
"9,9",3,+0.203233
"9,9",4,+0.267701
"9,9",5,+0.337048
"9,9",6,+0.392838
"9,9",7,+0.334625
"9,9",8,+0.208627
"9,9",9,-0.093756
"9,9",T,-0.462747
"T,T",A,-1.081472
"T,T",2,+0.174984
"T,T",3,+0.252971
"T,T",4,+0.334469
"T,T",5,+0.423596
"T,T",6,+0.500585
"T,T",7,+0.357292
"T,T",8,+0.134408
"T,T",9,-0.129690
"T,T",T,-0.488873
