pair,dealer,ev
"A,A",A,+0.248875
"A,A",2,+0.639281
"A,A",3,+0.686915
"A,A",4,+0.742445
"A,A",5,+0.807680
"A,A",6,+0.829433
"A,A",7,+0.628241
"A,A",8,+0.487068
"A,A",9,+0.361583
"A,A",T,+0.259328
"2,2",A,-0.515990
"2,2",2,-0.128603
"2,2",3,-0.068243
"2,2",4,+0.006728
"2,2",5,+0.139836
"2,2",6,+0.169488
"2,2",7,-0.050327
"2,2",8,-0.218028
"2,2",9,-0.395023
"2,2",T,-0.475813
"3,3",A,-0.549067
"3,3",2,-0.200146
"3,3",3,-0.125241
"3,3",4,+0.024220
"3,3",5,+0.132023
"3,3",6,+0.161260
"3,3",7,-0.107218
"3,3",8,-0.264468
"3,3",9,-0.424076
"3,3",T,-0.517424
"4,4",A,-0.624861
"4,4",2,-0.251373
"4,4",3,-0.123368
"4,4",4,-0.007825
"4,4",5,+0.096145
"4,4",6,+0.126343
"4,4",7,-0.252798
"4,4",8,-0.369577
"4,4",9,-0.514240
"4,4",T,-0.600091
"5,5",A,-0.773899
"5,5",2,-0.257214
"5,5",3,-0.168152
"5,5",4,-0.054612
"5,5",5,+0.061055
"5,5",6,+0.073685
"5,5",7,-0.353255
"5,5",8,-0.510007
"5,5",9,-0.668235
"5,5",T,-0.736514
"6,6",A,-0.697543
"6,6",2,-0.201831
"6,6",3,-0.113144
"6,6",4,-0.004261
"6,6",5,+0.089817
"6,6",6,+0.030216
"6,6",7,-0.267713
"6,6",8,-0.418655
"6,6",9,-0.584228
"6,6",T,-0.670885
"7,7",A,-0.690240
"7,7",2,-0.147165
"7,7",3,-0.061120
"7,7",4,+0.036537
"7,7",5,+0.055303
"7,7",6,+0.067518
"7,7",7,-0.110495
"7,7",8,-0.422535
"7,7",9,-0.569237
"7,7",T,-0.635099
"8,8",A,-0.477854
"8,8",2,+0.039654
"8,8",3,+0.108136
"8,8",4,+0.127186
"8,8",5,+0.215264
"8,8",6,+0.232148
"8,8",7,+0.251453
"8,8",8,-0.087156
"8,8",9,-0.427549
"8,8",T,-0.459253
"9,9",A,-0.197047
"9,9",2,+0.173278
"9,9",3,+0.171744
"9,9",4,+0.256146
"9,9",5,+0.347891
"9,9",6,+0.349537
"9,9",7,+0.335156
"9,9",8,+0.189899
"9,9",9,-0.108991
"9,9",T,-0.279983
"T,T",A,-0.445244
"T,T",2,+0.079724
"T,T",3,+0.159177
"T,T",4,+0.252190
"T,T",5,+0.358542
"T,T",6,+0.379925
"T,T",7,+0.304030
"T,T",8,+0.076675
"T,T",9,-0.183090
"T,T",T,-0.262691
