pair,dealer,ev
"A,A",A,-0.494740
"A,A",2,+0.622777
"A,A",3,+0.670871
"A,A",4,+0.723465
"A,A",5,+0.780883
"A,A",6,+0.822606
"A,A",7,+0.628725
"A,A",8,+0.495113
"A,A",9,+0.362669
"A,A",T,+0.142515
"2,2",A,-0.974789
"2,2",2,-0.061103
"2,2",3,+0.012870
"2,2",4,+0.093848
"2,2",5,+0.217245
"2,2",6,+0.257930
"2,2",7,+0.011756
"2,2",8,-0.176828
"2,2",9,-0.378079
"2,2",T,-0.626353
"3,3",A,-1.005527
"3,3",2,-0.124489
"3,3",3,-0.124489
"3,3",4,+0.089852
"3,3",5,+0.202683
"3,3",6,+0.235221
"3,3",7,-0.047444
"3,3",8,-0.227062
"3,3",9,-0.419894
"3,3",T,-0.667421
"4,4",A,-1.064338
"4,4",2,-0.175571
"4,4",3,-0.062312
"4,4",4,+0.049897
"4,4",5,+0.163074
"4,4",6,+0.188088
"4,4",7,-0.173529
"4,4",8,-0.324502
"4,4",9,-0.501538
"4,4",T,-0.737954
"5,5",A,-1.148574
"5,5",2,-0.250008
"5,5",3,-0.157227
"5,5",4,-0.050838
"5,5",5,+0.066944
"5,5",6,+0.080304
"5,5",7,-0.303916
"5,5",8,-0.468512
"5,5",9,-0.645095
"5,5",T,-0.849543
"6,6",A,-1.124526
"6,6",2,-0.161684
"6,6",3,-0.062760
"6,6",4,+0.044871
"6,6",5,+0.154637
"6,6",6,+0.141906
"6,6",7,-0.228821
"6,6",8,-0.397580
"6,6",9,-0.583510
"6,6",T,-0.813990
"7,7",A,-1.107126
"7,7",2,-0.092156
"7,7",3,-0.001909
"7,7",4,+0.101557
"7,7",5,+0.165520
"7,7",6,+0.228080
"7,7",7,-0.047648
"7,7",8,-0.387460
"7,7",9,-0.563739
"7,7",T,-0.769665
"8,8",A,-0.912943
"8,8",2,+0.098706
"8,8",3,+0.172394
"8,8",4,+0.226711
"8,8",5,+0.314502
"8,8",6,+0.397077
"8,8",7,+0.312620
"8,8",8,-0.042253
"8,8",9,-0.395003
"8,8",T,-0.606123
"9,9",A,-0.745811
"9,9",2,+0.203058
"9,9",3,+0.238573
"9,9",4,+0.314480
"9,9",5,+0.397588
"9,9",6,+0.447871
"9,9",7,+0.361880
"9,9",8,+0.220309
"9,9",9,-0.088704
"9,9",T,-0.447607
"T,T",A,-0.979528
"T,T",2,+0.139070
"T,T",3,+0.215520
"T,T",4,+0.302530
"T,T",5,+0.396445
"T,T",6,+0.457494
"T,T",7,+0.335501
"T,T",8,+0.110220
"T,T",9,-0.152629
"T,T",T,-0.478925
