pair,dealer,ev
"A,A",A,+0.261098
"A,A",2,+0.639773
"A,A",3,+0.687323
"A,A",4,+0.742885
"A,A",5,+0.807756
"A,A",6,+0.832622
"A,A",7,+0.628241
"A,A",8,+0.487068
"A,A",9,+0.361583
"A,A",T,+0.259328
"2,2",A,-0.431972
"2,2",2,-0.035691
"2,2",3,+0.039938
"2,2",4,+0.128852
"2,2",5,+0.284030
"2,2",6,+0.289388
"2,2",7,+0.016854
"2,2",8,-0.178510
"2,2",9,-0.368332
"2,2",T,-0.467223
"3,3",A,-0.467444
"3,3",2,-0.107517
"3,3",3,-0.022776
"3,3",4,+0.148705
"3,3",5,+0.283656
"3,3",6,+0.274175
"3,3",7,-0.041320
"3,3",8,-0.220566
"3,3",9,-0.400077
"3,3",T,-0.506252
"4,4",A,-0.560200
"4,4",2,-0.161666
"4,4",3,-0.014885
"4,4",4,+0.119697
"4,4",5,+0.252660
"4,4",6,+0.234406
"4,4",7,-0.177648
"4,4",8,-0.322299
"4,4",9,-0.487916
"4,4",T,-0.587695
"5,5",A,-0.695552
"5,5",2,-0.205861
"5,5",3,-0.101751
"5,5",4,+0.022800
"5,5",5,+0.165567
"5,5",6,+0.126767
"5,5",7,-0.310948
"5,5",8,-0.482146
"5,5",9,-0.650026
"5,5",T,-0.724627
"6,6",A,-0.634892
"6,6",2,-0.108122
"6,6",3,-0.000589
"6,6",4,+0.123156
"6,6",5,+0.244177
"6,6",6,+0.146110
"6,6",7,-0.192572
"6,6",8,-0.369192
"6,6",9,-0.556615
"6,6",T,-0.659371
"7,7",A,-0.594608
"7,7",2,-0.049631
"7,7",3,+0.048298
"7,7",4,+0.163679
"7,7",5,+0.199182
"7,7",6,+0.219388
"7,7",7,-0.051518
"7,7",8,-0.380784
"7,7",9,-0.548673
"7,7",T,-0.620390
"8,8",A,-0.318666
"8,8",2,+0.124373
"8,8",3,+0.199314
"8,8",4,+0.229923
"8,8",5,+0.328920
"8,8",6,+0.384183
"8,8",7,+0.303269
"8,8",8,-0.059830
"8,8",9,-0.401793
"8,8",T,-0.448160
"9,9",A,-0.076523
"9,9",2,+0.211428
"9,9",3,+0.217452
"9,9",4,+0.308105
"9,9",5,+0.406157
"9,9",6,+0.423175
"9,9",7,+0.358537
"9,9",8,+0.206999
"9,9",9,-0.099249
"9,9",T,-0.274520
"T,T",A,-0.301544
"T,T",2,+0.084711
"T,T",3,+0.161816
"T,T",4,+0.254280
"T,T",5,+0.359338
"T,T",6,+0.394371
"T,T",7,+0.304030
"T,T",8,+0.076675
"T,T",9,-0.183090
"T,T",T,-0.262691
