pair,dealer,ev
"A,A",A,-0.491180
"A,A",2,+0.639773
"A,A",3,+0.687323
"A,A",4,+0.742885
"A,A",5,+0.807756
"A,A",6,+0.832622
"A,A",7,+0.628241
"A,A",8,+0.487068
"A,A",9,+0.361583
"A,A",T,+0.167709
"2,2",A,-0.979890
"2,2",2,-0.035691
"2,2",3,+0.039938
"2,2",4,+0.131312
"2,2",5,+0.301135
"2,2",6,+0.307351
"2,2",7,+0.016854
"2,2",8,-0.178510
"2,2",9,-0.368332
"2,2",T,-0.606913
"3,3",A,-1.006058
"3,3",2,-0.107517
"3,3",3,-0.022776
"3,3",4,+0.154945
"3,3",5,+0.305522
"3,3",6,+0.303203
"3,3",7,-0.041320
"3,3",8,-0.220566
"3,3",9,-0.400077
"3,3",T,-0.645179
"4,4",A,-1.071035
"4,4",2,-0.161666
"4,4",3,-0.014885
"4,4",4,+0.125674
"4,4",5,+0.267408
"4,4",6,+0.251637
"4,4",7,-0.177648
"4,4",8,-0.322299
"4,4",9,-0.487916
"4,4",T,-0.721157
"5,5",A,-1.164482
"5,5",2,-0.205861
"5,5",3,-0.101751
"5,5",4,+0.028222
"5,5",5,+0.186319
"5,5",6,+0.156856
"5,5",7,-0.310948
"5,5",8,-0.482146
"5,5",9,-0.650026
"5,5",T,-0.846442
"6,6",A,-1.125430
"6,6",2,-0.103415
"6,6",3,+0.010282
"6,6",4,+0.141973
"6,6",5,+0.279484
"6,6",6,+0.169393
"6,6",7,-0.192572
"6,6",8,-0.369192
"6,6",9,-0.556615
"6,6",T,-0.786046
"7,7",A,-1.093356
"7,7",2,-0.046951
"7,7",3,+0.057243
"7,7",4,+0.188979
"7,7",5,+0.223362
"7,7",6,+0.242747
"7,7",7,-0.051518
"7,7",8,-0.380784
"7,7",9,-0.548673
"7,7",T,-0.753058
"8,8",A,-0.899858
"8,8",2,+0.124373
"8,8",3,+0.199314
"8,8",4,+0.229923
"8,8",5,+0.328920
"8,8",6,+0.384626
"8,8",7,+0.303269
"8,8",8,-0.059830
"8,8",9,-0.401793
"8,8",T,-0.591229
"9,9",A,-0.728868
"9,9",2,+0.211428
"9,9",3,+0.217452
"9,9",4,+0.308105
"9,9",5,+0.406157
"9,9",6,+0.423175
"9,9",7,+0.358537
"9,9",8,+0.206999
"9,9",9,-0.099249
"9,9",T,-0.425086
"T,T",A,-0.969144
"T,T",2,+0.084711
"T,T",3,+0.161816
"T,T",4,+0.254280
"T,T",5,+0.359338
"T,T",6,+0.394371
"T,T",7,+0.304030
"T,T",8,+0.076675
"T,T",9,-0.183090
"T,T",T,-0.459808
