pair,dealer,ev
"A,A",A,+0.247186
"A,A",2,+0.609796
"A,A",3,+0.658099
"A,A",4,+0.708660
"A,A",5,+0.760868
"A,A",6,+0.814366
"A,A",7,+0.626811
"A,A",8,+0.498481
"A,A",9,+0.361839
"A,A",T,+0.297189
"2,2",A,-0.434741
"2,2",2,-0.153288
"2,2",3,-0.096443
"2,2",4,-0.036163
"2,2",5,+0.051319
"2,2",6,+0.097770
"2,2",7,-0.048608
"2,2",8,-0.214977
"2,2",9,-0.403330
"2,2",T,-0.511245
"3,3",A,-0.482526
"3,3",2,-0.209586
"3,3",3,-0.139258
"3,3",4,-0.057374
"3,3",5,+0.026562
"3,3",6,+0.070697
"3,3",7,-0.108467
"3,3",8,-0.269452
"3,3",9,-0.450162
"3,3",T,-0.557112
"4,4",A,-0.562563
"4,4",2,-0.263132
"4,4",3,-0.185044
"4,4",4,-0.104876
"4,4",5,-0.019715
"4,4",6,+0.018444
"4,4",7,-0.226758
"4,4",8,-0.364949
"4,4",9,-0.527300
"4,4",T,-0.630078
"5,5",A,-0.675567
"5,5",2,-0.321909
"5,5",3,-0.246489
"5,5",4,-0.164773
"5,5",5,-0.074648
"5,5",6,-0.037889
"5,5",7,-0.330100
"5,5",8,-0.481862
"5,5",9,-0.651304
"5,5",T,-0.739997
"6,6",A,-0.654258
"6,6",2,-0.274014
"6,6",3,-0.196657
"6,6",4,-0.114747
"6,6",5,-0.029608
"6,6",6,-0.002164
"6,6",7,-0.311506
"6,6",8,-0.455904
"6,6",9,-0.621056
"6,6",T,-0.718540
"7,7",A,-0.644665
"7,7",2,-0.196412
"7,7",3,-0.124858
"7,7",4,-0.047630
"7,7",5,+0.019873
"7,7",6,+0.093023
"7,7",7,-0.105234
"7,7",8,-0.429257
"7,7",9,-0.591294
"7,7",T,-0.663405
"8,8",A,-0.364717
"8,8",2,+0.006842
"8,8",3,+0.070253
"8,8",4,+0.129101
"8,8",5,+0.199632
"8,8",6,+0.292146
"8,8",7,+0.263000
"8,8",8,-0.065810
"8,8",9,-0.409053
"8,8",T,-0.486590
"9,9",A,-0.126514
"9,9",2,+0.157300
"9,9",3,+0.206001
"9,9",4,+0.269329
"9,9",5,+0.337850
"9,9",6,+0.403788
"9,9",7,+0.334625
"9,9",8,+0.208627
"9,9",9,-0.093756
"9,9",T,-0.320183
"T,T",A,-0.191699
"T,T",2,+0.176957
"T,T",3,+0.254679
"T,T",4,+0.335984
"T,T",5,+0.423651
"T,T",6,+0.501678
"T,T",7,+0.357292
"T,T",8,+0.134408
"T,T",9,-0.129690
"T,T",T,-0.293164
